country,_date,category_class,subject,hazards,reason_text,reference
Vietnam,2024-06-25 16:06:50,SPS,Vibrio vulnificus in shrimps from Vietnam,"Vibrio parahaemolyticus  - {pathogenic micro-organisms},Vibrio vulnificus  - {pathogenic micro-organisms}","Vibrio vulnificus in shrimps from Vietnam | Vibrio parahaemolyticus  - {pathogenic micro-organisms},Vibrio vulnificus  - {pathogenic micro-organisms}",2024.4864
Vietnam,2024-06-24 16:53:14,Other,Presencia del al̩rgeno (huevo) en langostinos rebozados de Vietnam. Presence of the allergen egg in battered prawns from Vietnam. ,egg  undeclared - {allergens},Presencia del al̩rgeno (huevo) en langostinos rebozados de Vietnam. Presence of the allergen egg in battered prawns from Vietnam.  | egg  undeclared - {allergens},2024.4841
Ecuador,2024-05-22 16:47:56,SPS,Vibrio vulnificus in frozen prawns,Vibrio vulnificus  - {pathogenic micro-organisms},Vibrio vulnificus in frozen prawns | Vibrio vulnificus  - {pathogenic micro-organisms},2024.3985
Vietnam,2024-05-02 17:31:13,SPS,Detection of 3-amino-2-oxazolidinone (AOZ) in white tiger prawns from Vietnam,nitrofuran (metabolite) furazolidone (AOZ) prohibited substance - {residues of veterinary medicinal products},Detection of 3-amino-2-oxazolidinone (AOZ) in white tiger prawns from Vietnam | nitrofuran (metabolite) furazolidone (AOZ) prohibited substance - {residues of veterinary medicinal products},2024.3519
Ecuador,2024-04-23 09:18:11,SPS,Presenza di Vibrio Vulnificus in gamberi di acquacoltura origine Ecuador/Presence of Vibrio vulnificus in frozen aquaculture shrimp (Litopenaeus vannamei) from Ecuador,Vibrio vulnificus  - {pathogenic micro-organisms},Presenza di Vibrio Vulnificus in gamberi di acquacoltura origine Ecuador/Presence of Vibrio vulnificus in frozen aquaculture shrimp (Litopenaeus vannamei) from Ecuador | Vibrio vulnificus  - {pathogenic micro-organisms},2024.3226
India,2024-04-18 09:49:53,SPS,Nitrofurans (AOZ) in shrimps from India,nitrofuran (metabolite) furazolidone (AOZ) prohibited substance - {residues of veterinary medicinal products},Nitrofurans (AOZ) in shrimps from India | nitrofuran (metabolite) furazolidone (AOZ) prohibited substance - {residues of veterinary medicinal products},2024.3111
India,2024-04-10 15:28:12,SPS,Unauthorised substance leucomalachite green in frozen black tiger prawns from India,leucomalachite green prohibited substance - {residues of veterinary medicinal products},Unauthorised substance leucomalachite green in frozen black tiger prawns from India | leucomalachite green prohibited substance - {residues of veterinary medicinal products},2024.2848
Vietnam,2024-04-05 13:20:34,SPS, leucomalachite green and leucocristall violet in shrimps from Vietnam,"leucocrystal violet  unauthorised substance - {residues of veterinary medicinal products},leucomalachite green prohibited substance - {residues of veterinary medicinal products}"," leucomalachite green and leucocristall violet in shrimps from Vietnam | leucocrystal violet  unauthorised substance - {residues of veterinary medicinal products},leucomalachite green prohibited substance - {residues of veterinary medicinal products}",2024.2687
Vietnam,2024-03-22 16:11:13,SPS,Ternidazole in shrimps from Vietnam,ternidazole prohibited substance - {residues of veterinary medicinal products},Ternidazole in shrimps from Vietnam | ternidazole prohibited substance - {residues of veterinary medicinal products},2024.2265
Ecuador,2024-03-05 16:42:15,TBT,Sulphite not (correctly) mentioned as allergen on label of shrimps from Ecuador,sulphite  improperly declared - {allergens},Sulphite not (correctly) mentioned as allergen on label of shrimps from Ecuador | sulphite  improperly declared - {allergens},2024.1585
India,2024-02-21 16:44:17,TBT,Sulphite not mentioned as allergen on label of shrimps from India,sulphite  improperly declared - {allergens},Sulphite not mentioned as allergen on label of shrimps from India | sulphite  improperly declared - {allergens},2024.1212
Ecuador,2024-02-08 15:48:33,Other,too high content of sulphite in chilled cooked whiteleg shrimps (Litopenaeus vannamei) from Ecuador,sulphite  too high content - {food additives and flavourings},too high content of sulphite in chilled cooked whiteleg shrimps (Litopenaeus vannamei) from Ecuador | sulphite  too high content - {food additives and flavourings},2024.0909
Ecuador,2024-02-06 09:08:17,SPS,Vibrio cholerae in frozen raw shrimps from Ecuador,Vibrio cholerae  - {pathogenic micro-organisms},Vibrio cholerae in frozen raw shrimps from Ecuador | Vibrio cholerae  - {pathogenic micro-organisms},2024.0806
India,2024-01-26 10:38:30,TBT,Sulphite not mentioned as allergen on label of shrimps from India,sulphite  improperly declared - {allergens},Sulphite not mentioned as allergen on label of shrimps from India | sulphite  improperly declared - {allergens},2024.058
Ecuador,2024-01-19 17:37:38,SPS,Vibrio vulnificus in frozen prawns,Vibrio vulnificus  - {pathogenic micro-organisms},Vibrio vulnificus in frozen prawns | Vibrio vulnificus  - {pathogenic micro-organisms},2024.0436
India,2024-01-12 16:47:14,SPS,Vibrio vulnificus in frozen wild prawns,Vibrio vulnificus  - {pathogenic micro-organisms},Vibrio vulnificus in frozen wild prawns | Vibrio vulnificus  - {pathogenic micro-organisms},2024.0269
India,2024-01-04 15:52:35,SPS,Detection of Vibrio Vulnificus in Frozen Raw Peeled Shrimp Tails from India,Vibrio vulnificus  - {pathogenic micro-organisms},Detection of Vibrio Vulnificus in Frozen Raw Peeled Shrimp Tails from India | Vibrio vulnificus  - {pathogenic micro-organisms},2024.0084
Vietnam,2023-12-18 16:52:29,SPS,Residues of Antimicrobials in Prawns,tetracycline  residue level above MRL - {residues of veterinary medicinal products},Residues of Antimicrobials in Prawns | tetracycline  residue level above MRL - {residues of veterinary medicinal products},2023.8727
India,2023-12-14 15:32:35,SPS,Presence of vibrio in fozen shrimp (raw),Vibrio vulnificus  - {pathogenic micro-organisms},Presence of vibrio in fozen shrimp (raw) | Vibrio vulnificus  - {pathogenic micro-organisms},2023.8639
India,2023-12-08 17:11:03,SPS,vibrio vulnificus in raw shrimp tails ,Vibrio vulnificus  - {pathogenic micro-organisms},vibrio vulnificus in raw shrimp tails  | Vibrio vulnificus  - {pathogenic micro-organisms},2023.8484
India,2023-12-01 15:24:22,SPS,"Listeria monocytogenes in cooked frozen shrimps from India, imported via France",Listeria monocytogenes  - {pathogenic micro-organisms},"Listeria monocytogenes in cooked frozen shrimps from India, imported via France | Listeria monocytogenes  - {pathogenic micro-organisms}",2023.8298
India,2023-11-24 10:30:15,TBT,Sulfite not mentioned as allergen on label in shrimps from India,sulphite  improperly declared - {allergens},Sulfite not mentioned as allergen on label in shrimps from India | sulphite  improperly declared - {allergens},2023.8128
India,2023-11-17 15:12:00,TBT,Presenza di solfiti non dichiarati in etichetta in code di gambero surgelate-Presence of allergen (sulphites)  undeclared on the label in frozen shrimp tails from India,sulphite  improperly declared - {allergens},Presenza di solfiti non dichiarati in etichetta in code di gambero surgelate-Presence of allergen (sulphites)  undeclared on the label in frozen shrimp tails from India | sulphite  improperly declared - {allergens},2023.7966
India,2023-10-30 16:49:33,SPS,Ternidazole in shrimps from India,ternidazole prohibited substance - {residues of veterinary medicinal products},Ternidazole in shrimps from India | ternidazole prohibited substance - {residues of veterinary medicinal products},2023.7408
Vietnam,2023-10-25 16:46:03,SPS,Doxycyclin in shrimps,doxycycline  residue level above MRL - {residues of veterinary medicinal products},Doxycyclin in shrimps | doxycycline  residue level above MRL - {residues of veterinary medicinal products},2023.7284
Ecuador,2023-10-10 12:43:04,SPS,Vibrio cholerae in shrimps from Ecuator,Vibrio cholerae  - {pathogenic micro-organisms},Vibrio cholerae in shrimps from Ecuator | Vibrio cholerae  - {pathogenic micro-organisms},2023.6865
Ecuador,2023-10-10 11:45:21,SPS,Vibrio cholerae in shrimps from Ecuator,Vibrio cholerae  - {pathogenic micro-organisms},Vibrio cholerae in shrimps from Ecuator | Vibrio cholerae  - {pathogenic micro-organisms},2023.6862
Ecuador,2023-10-02 11:32:52,SPS,Presencia de Vibrio Cholerae en langostinos crudos de Ecuador/ Presence of Vibrio Cholerae in raw shrimp from Ecuador.   ,Vibrio cholerae  - {pathogenic micro-organisms},Presencia de Vibrio Cholerae en langostinos crudos de Ecuador/ Presence of Vibrio Cholerae in raw shrimp from Ecuador.    | Vibrio cholerae  - {pathogenic micro-organisms},2023.6645
Ecuador,2023-09-21 12:37:44,SPS,Vibrio cholerae en langostinosde Ecuador / Vibrio cholerae in 25g shrimps from Ecuador,Vibrio cholerae  - {pathogenic micro-organisms},Vibrio cholerae en langostinosde Ecuador / Vibrio cholerae in 25g shrimps from Ecuador | Vibrio cholerae  - {pathogenic micro-organisms},2023.6407
Ecuador,2023-09-13 08:31:31,SPS,Vibrio cholerae in shrimps from Ecuador,Vibrio cholerae  - {pathogenic micro-organisms},Vibrio cholerae in shrimps from Ecuador | Vibrio cholerae  - {pathogenic micro-organisms},2023.6203
Ecuador,2023-09-05 16:54:56,SPS,Vibrio vulnificus in frozen pilled shrimp,Vibrio vulnificus  - {pathogenic micro-organisms},Vibrio vulnificus in frozen pilled shrimp | Vibrio vulnificus  - {pathogenic micro-organisms},2023.6058
Ecuador,2023-09-05 14:44:48,SPS,Vibrio cholerae en langostino de Ecuador// Vibrio cholerae in shrimps from Ecuador.,Vibrio cholerae  - {pathogenic micro-organisms},Vibrio cholerae en langostino de Ecuador// Vibrio cholerae in shrimps from Ecuador. | Vibrio cholerae  - {pathogenic micro-organisms},2023.6052
Ecuador,2023-08-30 14:55:18,SPS,Vibrio cholerae en langostinos de Ecuador. Vibrio cholerae in shrimps from Ecuador. ,"Vibrio cholerae  - {pathogenic micro-organisms},Vibrio cholerae NON O:1/NON O:139  - {pathogenic micro-organisms}","Vibrio cholerae en langostinos de Ecuador. Vibrio cholerae in shrimps from Ecuador.  | Vibrio cholerae  - {pathogenic micro-organisms},Vibrio cholerae NON O:1/NON O:139  - {pathogenic micro-organisms}",2023.588
Vietnam,2023-08-28 14:43:06,SPS,Malachite green and leucomalachitegreen in frozen shrimp,leucomalachite green prohibited substance - {residues of veterinary medicinal products},Malachite green and leucomalachitegreen in frozen shrimp | leucomalachite green prohibited substance - {residues of veterinary medicinal products},2023.5811
