MFG_FIRM_FEI_NUM,LGL_NAME,LINE1_ADRS,LINE2_ADRS,CITY_NAME,PROVINCE_STATE,ISO_CNTRY_CODE,PRODUCT_CODE,REFUSAL_DATE,DISTRICT,ENTRY_NUM,RFRNC_DOC_ID,LINE_NUM,LINE_SFX_ID,FDA_SAMPLE_ANALYSIS,PRIVATE_LAB_ANALYSIS,REFUSAL_CHARGES,PRDCT_CODE_DESC_TEXT,REFUSAL_DATE_PARSED,refusal_row_id,mapped_charge_count,mapped_charge_categories,mapped_charge_codes,sps_tbt_category,country_name,period
3021962614,SAHU INFRA,Shop No. 15- Ramchandraapartment,Nearc Wing - Jari Mari Mandir Road,Kalyan,,IN,66VCY99,07-Nov-22,DSEI,SCS-4049359-8,41,2,,No,No,"118, 3280","MISCELLANEOUS PATENT MEDICINES, ETC.",2022-11-07,0,2,TBT,"FRNMFGREG-3280, NOT LISTED-118",TBT,India,2019-2023
3014624840,HEET HEALTHCARE PVT LTD,4th Floor,408 Visat Ghandhinagar Highway,Gandhi Nagar,Gujarat,IN,60TCP99,24-Feb-21,DSEI,SCS-4071366-3,11,1,,No,No,75,"ANTAGONIST, N.E.C.",2021-02-24,1,1,Other/Unmatched,UNAPPROVED-75,Other/Unmatched,India,2019-2023
3027828017,QUANG TUONG,"29 Dang Cong Binh, Hamlet 6 Xuan",Thoi Thuong Commune,Ho Chi Minh City,,VN,28SYY99,22-Sep-23,DSEI,SCS-0087223-8,11,1,,No,No,324,SALT (TABLE SALT) N.E.C.,2023-09-22,2,1,TBT,NO ENGLISH-324,TBT,Vietnam,2019-2023
3017156794,JENFER BIOSCIENCES PVT LTD,"38, Mohan Nagar, P.O Kuldeep Nagar, Ambala Cantt",,Haryana,Haryana,IN,61TDY31,20-Aug-20,DSEI,SCS-1553511-7,11,13,,No,No,75,DOMPERIDONE,2020-08-20,3,1,Other/Unmatched,UNAPPROVED-75,Other/Unmatched,India,2019-2023
3014701459,ASTRAZENECA PHARMA INDIA LTD,Block N1,12th Floor,Bangalore,Karnataka,IN,61TDY31,31-Aug-20,DSEI,SCS-1637254-4,11,3,,No,No,75,DOMPERIDONE,2020-08-31,4,1,Other/Unmatched,UNAPPROVED-75,Other/Unmatched,India,2019-2023
3008546425,Centurion Laboratories,"G/5 & G/6, Industrial Estate",,Gorwa,Baroda,IN,66SCY51,10-Mar-22,DSEI,SCS-9849957-9,11,1,,No,No,75,TADALAFIL,2022-03-10,5,1,Other/Unmatched,UNAPPROVED-75,Other/Unmatched,India,2019-2023
3027531597,SUNIL KUMAR,16 Gagsina,,Karnal,Haryana,IN,60LCA01,21-Jul-23,DSEI,SCS-9084231-4,11,1,,No,No,75,ACETAMINOPHEN (ANALGESIC),2023-07-21,6,1,Other/Unmatched,UNAPPROVED-75,Other/Unmatched,India,2019-2023
3020661615,LANCER THERAPEUTICS,248 Sector 13,1st Floor; Scf,Chandigarh,Chandigarh,IN,62LCY47,25-Oct-21,DSEI,SCS-8219252-9,11,1,,No,No,75,"IVERMECTIN (ANTI-PROTOZOAL, A-LEISHMANIAL, ANTI-MALARIAL)",2021-10-25,7,1,Other/Unmatched,UNAPPROVED-75,Other/Unmatched,India,2019-2023
3000978756,Intas Pharmaceuticals Limited,"Plot 255, Magnet Corporate Park","Near sola bridge, S.G. Highway, Thaltej",Ahmedabad,Gujarat,IN,65QDA31,03-Dec-21,DSEI,SCS-8334062-2,11,5,,No,No,75,CHLORZOXAZONE (RELAXANT),2021-12-03,8,1,Other/Unmatched,UNAPPROVED-75,Other/Unmatched,India,2019-2023
1000500626,MTR Foods Private Limited,"No. 80, Bommasandra Industrial Area","Hebbagodi, Anekal Taluk",Bangalore,Karnataka,IN,28YGT99,17-Apr-21,DWCI,235-2341905-1,91,9,,No,No,9,"SPICES, FLAVORS AND SALT NOT MENTIONED ELSEWHERE, N.E.C.",2021-04-17,9,1,SPS,SALMONELLA-9,SPS,India,2019-2023
