MFG_FIRM_FEI_NUM,LGL_NAME,LINE1_ADRS,LINE2_ADRS,CITY_NAME,PROVINCE_STATE,ISO_CNTRY_CODE,PRODUCT_CODE,REFUSAL_DATE,DISTRICT,ENTRY_NUM,RFRNC_DOC_ID,LINE_NUM,LINE_SFX_ID,FDA_SAMPLE_ANALYSIS,PRIVATE_LAB_ANALYSIS,REFUSAL_CHARGES,PRDCT_CODE_DESC_TEXT,REFUSAL_DATE_PARSED,refusal_row_id,mapped_charge_count,mapped_charge_categories,mapped_charge_codes,sps_tbt_category,country_name,period
3010048354,Pablo Francisco Beltran Sanchez,Eloy Alfaro Lt 4 & Panamericana Norte,,Quito,Pichincha,EC,31NGT99,05-May-25,DNEI,BFV-0854521-2,11,13,,No,No,"75, 320, 321, 324, 328, 482","NOVELTY TEAS, N.E.C.",2025-05-05,10838,6,"Other/Unmatched, TBT","LACKS FIRM-320, LACKS N/C-321, NO ENGLISH-324, NUTRIT LBL-482, UNAPPROVED-75, USUAL NAME-328",TBT,Ecuador,2024-2026
3017860556,ENERGY FOODS,No 8 2nd St Radhanagar,,Chennai,,IN,66VBL99,01-May-24,DSEI,799-1017908-5,11,6,,No,No,75,"MISCELLANEOUS PATENT MEDICINES, ETC.",2024-05-01,10839,1,Other/Unmatched,UNAPPROVED-75,Other/Unmatched,India,2024-2026
3031002249,SRI GOMATA GAYATRI ORGANICS,Varshini Kaluyanamandap,,Visakhapatnam,,IN,54YCL99,01-Aug-24,DSEI,799-1391255-7,11,1,,No,No,"482, 3862, 3864","VITAMIN, MINERAL, PROTEINS AND UNCONVENTIONAL DIETARY SPECIALITIES FOR HUMANS AND ANIMALS, N.E.C.",2024-08-01,10840,3,TBT,"DIETARYING-3862, NCONTACT-3864, NUTRIT LBL-482",TBT,India,2024-2026
3031530809,SATINDER KAUR,St No 17 Maid Colony,,Punjab,,IN,66VIY99,29-Jul-24,DSEI,799-2301381-8,11,1,,No,No,75,"MISCELLANEOUS PATENT MEDICINES, ETC.",2024-07-29,10841,1,Other/Unmatched,UNAPPROVED-75,Other/Unmatched,India,2024-2026
3014602575,PSYCHOTROPICS INDIA LTD,Plot No.17 Sector 20a,,Haryana,,IN,66VDA99,16-Aug-24,DSEI,799-2627228-8,11,3,,No,No,75,"MISCELLANEOUS PATENT MEDICINES, ETC.",2024-08-16,10842,1,Other/Unmatched,UNAPPROVED-75,Other/Unmatched,India,2024-2026
3031821304,PFIZER LTD,Plot No C/17 G Block Co,,Bandra East,,IN,54YFF99,23-Sep-24,DSEI,799-2868330-0,11,8,,No,No,"75, 118","VITAMIN, MINERAL, PROTEINS AND UNCONVENTIONAL DIETARY SPECIALITIES FOR HUMANS AND ANIMALS, N.E.C.",2024-09-23,10843,2,"Other/Unmatched, TBT","NOT LISTED-118, UNAPPROVED-75",TBT,India,2024-2026
3032243354,CONCERN PHARMA LIMITED,Focal Point Vpo Tibba D,,Ludhiana,,IN,60ZDB15,08-Oct-24,DSEI,799-3558847-6,41,1,,No,No,"75, 118",IVERMECTIN AND COMBINATIONS (ANTIPARASITIC),2024-10-08,10844,2,"Other/Unmatched, TBT","NOT LISTED-118, UNAPPROVED-75",TBT,India,2024-2026
3004011473,Intas Pharmaceuticals Limited,"Plot No. 5 to 14, Pharmez, Near Village Matoda",Sarkhej-Bavla Highway No 8-A,"Taluka Sanand, Ahmedabad",Gujarat,IN,60LDA01,27-Aug-25,DSEI,799-0516804-5,30002,1,,No,No,27,ACETAMINOPHEN (ANALGESIC),2025-08-27,10845,1,SPS,DRUG GMPS-27,SPS,India,2024-2026
3041276944,PANNIV HEALTHCARE SHOP NO. 1,"Rajeshvar Complex, Kozv",,Surat,,IN,61NCA78,09-Dec-25,DSEI,799-1270142-5,20003,1,,No,No,75,SERTRALINE HYDROCHLORIDE (ANTI-DEPRESSANT),2025-12-09,10846,1,Other/Unmatched,UNAPPROVED-75,Other/Unmatched,India,2024-2026
3008348941,Innovative Cuisine Pvt Ltd,"BLOCK NO. 512, KARJAN VEMARDI ROAD","OPP. COSMOFILMS, VILLAGE-KANDARI",VADODARA,Gujarat,IN,23BGD05,26-Sep-25,DNBI,8KP-0066032-5,30002,1,,No,No,"308, 3821","COCONUT, SHELLED",2025-09-26,10847,2,SPS,"MFR INJ-3821, MFR INSAN-308",SPS,India,2024-2026
3020174338,INTAS PHARMACEUTICAL,7-737-132,,Sikkim,,IN,62JCA13,20-Sep-24,DSEI,799-2938277-9,11,1,,No,No,75,DONEPEZIL HCL (ANTI-PARKINSONIAN),2024-09-20,10848,1,Other/Unmatched,UNAPPROVED-75,Other/Unmatched,India,2024-2026
3021531283,RIDGE FORMULATIONS PVT LTD,Near Govt Middle School,,Solan,Himachal Pradesh,IN,62TCA07,25-Mar-25,DSEI,799-6627039-0,81,7,,No,No,75,PANTOPRAZOLE SODIUM,2025-03-25,10849,1,Other/Unmatched,UNAPPROVED-75,Other/Unmatched,India,2024-2026
